measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources
"No. of pregnancies ending in birth",17517,HI,Hawaii,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",38430,IA,Iowa,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",22181,ID,Idaho,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",149390,IL,Illinois,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",82170,IN,Indiana,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",36519,KS,Kansas,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",54752,KY,Kentucky,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",61018,LA,Louisiana,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",70702,MA,Massachusetts,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",71641,MD,Maryland,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",12298,ME,Maine,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",111426,MI,Michigan,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",68595,MN,Minnesota,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",73034,MO,Missouri,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",37357,MS,Mississippi,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",11799,MT,Montana,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",120125,NC,"North Carolina",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",10737,ND,"North Dakota",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",25821,NE,Nebraska,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",12116,NH,"New Hampshire",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",101250,NJ,"New Jersey",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",23767,NM,"New Mexico",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",35756,NV,Nevada,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",229737,NY,"New York",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",136832,OH,Ohio,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",50214,OK,Oklahoma,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",43631,OR,Oregon,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",137745,PA,Pennsylvania,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",10638,RI,"Rhode Island",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",57029,SC,"South Carolina",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",12134,SD,"South Dakota",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",81016,TN,Tennessee,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",382050,TX,Texas,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",48585,UT,Utah,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",100391,VA,Virginia,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",5655,VT,Vermont,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",87562,WA,Washington,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",64975,WI,Wisconsin,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",18675,WV,"West Virginia",2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"No. of pregnancies ending in birth",6903,WY,Wyoming,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",14090,AK,Alaska,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",79150,AL,Alabama,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",49110,AR,Arkansas,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",112840,AZ,Arizona,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",710510,CA,California,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",89470,CO,Colorado,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",55410,CT,Connecticut,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",16070,DE,Delaware,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",343850,FL,Florida,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",190870,GA,Georgia,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",24560,HI,Hawaii,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",50130,IA,Iowa,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",28580,ID,Idaho,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",220810,IL,Illinois,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",109910,IN,Indiana,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",47700,KS,Kansas,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
"Total no. of pregnancies among women aged 15-44",70960,KY,Kentucky,2017,n/a,,"Maddow-Zimet I and Kost K, <i>Pregnancies, Births and Abortions in the United States, 1973–2017: National and State Trends by Age</i>, New York: Guttmacher Institute, 2021, https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017., Maddow-Zimet I and Kost K <https://www.guttmacher.org/report/pregnancies-births-abortions-in-united-states-1973-2017>"
